date,close
2023-01-01,100.99342830602247
2023-01-02,200.7168997036801
2023-01-03,302.0122767798815
2023-01-04,405.05833649269755
2023-01-05,504.59002974325085
2023-01-06,604.1217558293525
2023-01-07,707.2801814603673
2023-01-08,808.8150509186731
2023-01-09,907.8761021468032
2023-01-10,1008.9612222339751
2023-01-11,1108.0343868483503
2023-01-12,1207.1029273412098
2023-01-13,1307.586851884342
2023-01-14,1403.7602913950263
2023-01-15,1500.3104557300003
2023-01-16,1599.1858806715184
2023-01-17,1697.1602184308495
2023-01-18,1797.78871309604
2023-01-19,1895.9726649449976
2023-01-20,1993.148057542327
2023-01-21,2096.07935508017
2023-01-22,2195.627802479197
2023-01-23,2295.7628588885727
2023-01-24,2392.9133625161458
2023-01-25,2491.8245970670955
2023-01-26,2592.046442246515
2023-01-27,2689.7444550916707
2023-01-28,2790.495851128362
2023-01-29,2889.2945737485247
2023-01-30,2988.7111862489382
2023-01-31,3087.5077730244793
2023-02-01,3191.2123293934974
2023-02-02,3291.1853349440216
2023-02-03,3389.06991308611
2023-02-04,3490.7150029103163
2023-02-05,3588.273315610374
2023-02-06,3688.6910428003835
2023-02-07,3784.771702552624
2023-02-08,3882.115330454827
2023-02-09,3982.5090529265653
2023-02-10,4083.9859860865563
2023-02-11,4184.3287226489365
2023-02-12,4284.09742608416
2023-02-13,4383.495218692982
2023-02-14,4480.538174712247
2023-02-15,4579.098486295458
2023-02-16,4678.177208753539
2023-02-17,4780.291453205977
2023-02-18,4880.978689785114
2023-02-19,4977.452609474388
2023-02-20,5078.100777413178
2023-02-21,5177.330612852345
2023-02-22,5275.976768851733
2023-02-23,5377.200121429415
2023-02-24,5479.262120474407
2023-02-25,5581.12468071264
2023-02-26,5679.446245666195
2023-02-27,5778.827820914493
2023-02-28,5879.4903477773
2023-03-01,5981.441438031545
2023-03-02,6080.483089555854
2023-03-03,6180.1117716025265
2023-03-04,6277.899101654514
2023-03-05,6375.506688406353
2023-03-06,6477.131740051141
2023-03-07,6579.844220108283
2023-03-08,6679.700199865122
2023-03-09,6781.707265660906
2023-03-10,6882.430537711001
2023-03-11,6981.140298201791
2023-03-12,7081.863089412807
2023-03-13,7184.939162545739
2023-03-14,7284.867510467519
2023-03-15,7387.9967977791475
2023-03-16,7482.757307570968
2023-03-17,7584.401112579719
2023-03-18,7684.575206716195
2023-03-19,7783.977192015263
2023-03-20,7884.160713568334
2023-03-21,7980.185575739132
2023-03-22,8079.746231963457
2023-03-23,8180.46045710648
2023-03-24,8283.416245195964
2023-03-25,8382.379704759416
2023-03-26,8480.762717553629
2023-03-27,8579.75920346646
2023-03-28,8681.590007701863
2023-03-29,8782.247509921182
2023-03-30,8881.187989513648
2023-03-31,8982.214524379875
2023-04-01,9082.40867947857
2023-04-02,9184.345969459637
2023-04-03,9282.941863271883
2023-04-04,9382.286538978688
2023-04-05,9481.502322672422
2023-04-06,9578.575292776159
2023-04-07,9679.167533330288
2023-04-08,9779.689643874648
2023-04-09,9879.699870787934
2023-04-10,9979.230696521183
2023-04-11,10076.399955037083
2023-04-12,10175.558664391552
2023-04-13,10274.873235358498
2023-04-14,10373.268680820054
2023-04-15,10472.946109396722
2023-04-16,10573.75421111035
2023-04-17,10677.526582912771
2023-04-18,10777.875738538434
2023-04-19,10878.39083931988
2023-04-20,10978.241947488348
2023-04-21,11074.40440505775
2023-04-22,11174.351377306852
2023-04-23,11274.471837726735
2023-04-24,11379.398321951705
2023-04-25,11479.013600022143
2023-04-26,11579.61669470681
2023-04-27,11679.5472711674
2023-04-28,11777.20991509216
2023-04-29,11879.49556072119
2023-04-30,11980.999426786564
2023-05-01,12082.58149068065
2023-05-02,12180.762715771061
2023-05-03,12283.568304392933
2023-05-04,12380.764602267349
2023-05-05,12481.938316454949
2023-05-06,12586.319227706568
2023-05-07,12684.338155056306
2023-05-08,12783.205559597101
2023-05-09,12883.404862327277
2023-05-10,12982.397911019045
2023-05-11,13079.296584156913
2023-05-12,13179.433710106525
2023-05-13,13277.309102679073
2023-05-14,13378.256287540344
2023-05-15,13476.417439071876
2023-05-16,13579.517307881912
2023-05-17,13677.950801297238
2023-05-18,13777.306678264827
2023-05-19,13878.933712699567
2023-05-20,13976.471984066698
2023-05-21,14076.926903935906
2023-05-22,14179.541189444471
2023-05-23,14276.326222975349
2023-05-24,14376.695490692413
2023-05-25,14477.21525628091
2023-05-26,14578.778902024464
2023-05-27,14676.305000602708
2023-05-28,14773.66408737654
2023-05-29,14874.707970507772
2023-05-30,14975.301939854238
2023-05-31,15075.80292555493
2023-06-01,15176.495821973924
2023-06-02,15275.135772530766
2023-06-03,15375.600279925087
2023-06-04,15476.186424871685
2023-06-05,15574.757722035632
2023-06-06,15678.489271057922
2023-06-07,15779.436936899747
2023-06-08,15877.05432990534
2023-06-09,15978.367437122608
2023-06-10,16076.418073782153
2023-06-11,16177.992242989638
2023-06-12,16280.309434147654
2023-06-13,16378.66806951095
2023-06-14,16480.59482176944
2023-06-15,16581.42038362331
2023-06-16,16683.0645039433
2023-06-17,16786.85808990861
2023-06-18,16886.3673136766
2023-06-19,16984.859841347887
2023-06-20,17083.080812488635
2023-06-21,17181.449191918706
2023-06-22,17281.294988499878
2023-06-23,17381.977292449512
2023-06-24,17482.530674048172
2023-06-25,17584.185040546243
2023-06-26,17684.211044329997
2023-06-27,17787.118112484313
2023-06-28,17886.588798817837
2023-06-29,17992.029137151017
2023-06-30,18093.28047184655
2023-07-01,18191.566156733716
2023-07-02,18289.424371737594
2023-07-03,18390.389316568082
2023-07-04,18489.942390997432
2023-07-05,18591.370391985616
2023-07-06,18692.316867234764
2023-07-07,18792.17120940945
2023-07-08,18890.477621973314
2023-07-09,18987.447927523943
2023-07-10,19086.554897619808
2023-07-11,19188.267695208455
2023-07-12,19288.695882696717
2023-07-13,19386.20440513929
2023-07-14,19486.550766990993
2023-07-15,19587.32140175045
2023-07-16,19685.553686878047
2023-07-17,19785.861137089938
2023-07-18,19885.97755452683
